step,loss
917,99669.8046875
918,99671.0625
919,99672.203125
920,99673.21875
921,99674.5
922,99675.546875
923,99676.7890625
924,99677.9453125
925,99678.96875
926,99680.0546875
927,99681.3125
928,99682.515625
929,99683.5390625
930,99684.671875
931,99685.984375
932,99686.9296875
933,99688.015625
934,99688.9765625
935,99690.1328125
936,99691.15625
937,99692.265625
938,99693.421875
939,99694.46875
940,99695.5
941,99696.734375
942,99697.7734375
943,99698.921875
944,99700.1015625
945,99701.046875
946,99702.2109375
947,99703.3828125
948,99704.359375
949,99705.2734375
950,99706.5703125
951,99707.71875
952,99708.8046875
953,99709.703125
954,99710.96875
955,99712.140625
956,99713.15625
957,99714.65625
958,99715.609375
959,99716.890625
960,99717.921875
961,99719.046875
962,99719.9609375
963,99721.1796875
964,99722.2109375
965,99723.140625
966,99724.1328125
967,99725.1484375
968,99726.0234375
969,99727.0234375
970,99727.9296875
971,99729.1953125
972,99730.1171875
973,99730.8828125
974,99732.0546875
975,99733.0703125
976,99733.9296875
977,99734.8671875
978,99735.828125
979,99736.78125
980,99737.6953125
981,99738.6640625
982,99739.703125
983,99740.5390625
984,99741.46875
985,99742.5625
986,99743.421875
987,99744.203125
988,99745.359375
989,99746.234375
990,99747.078125
991,99748.0078125
992,99748.8671875
993,99749.90625
994,99750.890625
995,99751.8359375
996,99752.671875
997,99753.515625
998,99754.796875
999,99755.5859375
1000,99756.328125
1001,99757.4765625
1002,99758.140625
1003,99759.09375
1004,99759.9375
1005,99760.890625
1006,99761.6640625
1007,99762.5703125
1008,99763.3046875
1009,99764.328125
1010,99765.140625
1011,99765.9375
1012,99766.8203125
1013,99767.625
1014,99768.4375
1015,99769.265625
1016,99770.125
1017,99770.8671875
1018,99771.6484375
1019,99772.484375
1020,99773.328125
1021,99774.0703125
1022,99774.796875
1023,99775.6484375
1024,99776.484375
1025,99777.21875
1026,99778.0078125
1027,99778.7578125
1028,99779.59375
1029,99780.1015625
1030,99781.1484375
1031,99781.8515625
1032,99782.4609375
1033,99783.390625
1034,99784.0859375
1035,99784.8125
1036,99785.53125
1037,99786.3125
1038,99787.28125
1039,99787.859375
1040,99788.625
1041,99789.3984375
1042,99790.125
1043,99791.0625
1044,99791.8125
1045,99792.625
1046,99793.4140625
1047,99794.140625
1048,99794.859375
1049,99795.71875
1050,99796.390625
1051,99797.234375
1052,99798.0078125
1053,99798.703125
1054,99799.4453125
1055,99800.09375
1056,99800.8828125
1057,99801.6796875
1058,99802.53125
1059,99803.1875
1060,99803.984375
1061,99804.59375
1062,99805.484375
1063,99806.0703125
1064,99806.8125
1065,99807.5703125
1066,99808.140625
1067,99809.078125
1068,99809.7109375
1069,99810.6484375
1070,99811.3203125
1071,99811.9921875
1072,99812.8359375
1073,99813.6015625
1074,99814.3671875
1075,99814.90625
1076,99815.875
1077,99816.515625
1078,99817.203125
1079,99818.015625
1080,99818.671875
1081,99819.3125
1082,99820.2421875
1083,99820.8828125
1084,99821.5234375
1085,99822.2734375
1086,99823.3046875
1087,99823.8046875
1088,99824.4609375
1089,99825.2265625
1090,99826.0
1091,99826.75
1092,99827.3125
1093,99827.890625
1094,99828.515625
1095,99829.234375
1096,99829.828125
1097,99830.84375
1098,99831.3046875
1099,99832.375
1100,99832.859375
1101,99833.7890625
1102,99834.4609375
1103,99835.109375
1104,99835.5546875
1105,99836.25
1106,99836.859375
1107,99837.640625
1108,99838.15625
1109,99838.78125
1110,99839.59375
1111,99840.2109375
1112,99840.890625
1113,99841.6328125
1114,99842.3203125
1115,99843.078125
1116,99843.6328125
1117,99844.5390625
1118,99845.1171875
1119,99846.171875
1120,99846.5078125
1121,99847.109375
1122,99847.796875
1123,99848.671875
1124,99849.2578125
1125,99849.9375
1126,99850.59375
1127,99851.1953125
1128,99851.96875
1129,99852.703125
1130,99853.3125
1131,99854.1015625
1132,99854.8203125
1133,99855.6796875
1134,99856.3359375
1135,99856.9765625
1136,99857.5390625
1137,99858.2109375
1138,99859.1796875
1139,99859.5625
1140,99860.5
1141,99860.9453125
1142,99861.515625
1143,99862.5
1144,99863.28125
1145,99863.84375
1146,99864.625
1147,99865.125
1148,99866.078125
1149,99866.5546875
1150,99867.46875
1151,99868.2890625
1152,99869.1171875
1153,99869.5859375
1154,99870.40625
1155,99871.1328125
1156,99871.9296875
1157,99872.59375
1158,99873.25
1159,99873.9296875
1160,99874.5859375
1161,99875.4296875
1162,99876.1171875
1163,99876.78125
1164,99877.90625
1165,99878.6171875
1166,99879.21875
1167,99879.9765625
1168,99880.953125
1169,99881.640625
1170,99882.484375
1171,99883.0
1172,99883.9921875
1173,99884.9140625
1174,99885.6015625
1175,99886.828125
1176,99888.3046875
1177,99889.65625
1178,99891.0078125
1179,99892.3359375
1180,99893.578125
1181,99895.0
1182,99896.2421875
1183,99897.9453125
1184,99899.4609375
1185,99900.7421875
1186,99902.359375
1187,99903.65625
1188,99905.140625
1189,99906.5234375
1190,99907.9296875
1191,99909.5078125
1192,99910.75
1193,99912.1171875
1194,99913.515625
1195,99914.8671875
1196,99916.0078125
1197,99917.2890625
1198,99918.7578125
1199,99919.8515625
1200,99921.078125
1201,99922.5625
1202,99923.859375
1203,99925.15625
1204,99926.703125
1205,99928.0703125
1206,99929.34375
1207,99930.671875
1208,99931.890625
1209,99933.015625
1210,99934.578125
1211,99935.671875
1212,99936.8515625
1213,99938.2265625
1214,99939.3515625
1215,99940.6953125
1216,99941.9140625
1217,99943.1484375
1218,99944.0234375
1219,99945.3671875
1220,99946.515625
1221,99947.6328125
1222,99948.8515625
1223,99949.953125
1224,99951.40625
1225,99952.90625
1226,99953.953125
1227,99955.2109375
1228,99956.5390625
1229,99957.5
1230,99958.828125
1231,99959.796875
1232,99961.0078125
