step,spectral,spacing,growth,spread,geom,repulsion,amplitude,range,level_entropy,wave_amp,phase,phase_activity,phase_curvature,nodal,amplitude_collapse
170,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
171,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
172,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
173,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
174,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
175,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
176,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
177,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
178,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
179,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
180,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
181,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
182,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
183,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
184,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
185,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
186,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
187,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
188,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
189,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
190,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
191,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
192,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
193,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
194,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
195,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
196,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
197,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
198,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
199,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
200,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
201,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
202,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
203,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
204,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
205,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
206,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
207,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
208,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
209,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
210,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
211,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
212,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
213,5.0,1.0,3.0,10.0,0.01,0.0001,0.001,10.0,0.01,0.2,0.05,1.0,0.05,0.1,0.1
