length,trace,word_len
10.961243123557502,-240.0,8
4.1268741377911535,8.0,2
14.71383567020983,1567.0,5
12.376519813306546,487.0,5
13.029420992155849,675.0,8
8.467792796967258,-69.0,5
5.774541900715247,18.0,2
7.165492877844295,36.0,6
5.774541900715247,18.0,7
14.056401292261633,-1128.0,5
23.760380278430233,144378.0,8
16.87109831056139,4608.0,8
8.837390834461338,83.0,4
8.221210021623508,-61.0,7
14.862598648395485,1688.0,8
3.525494348078233,-6.0,4
3.8496946004768713,7.0,3
8.438582744024163,-68.0,6
4.584863339122376,10.0,4
8.713088841203504,78.0,5
9.734950547210683,-130.0,6
20.561792123373053,-29170.0,8
10.36350397425253,178.0,5
7.425953302346791,-41.0,5
7.656336942666203,46.0,5
2.633915793849788,4.0,2
17.443204636193595,6134.0,8
6.800168828226681,30.0,8
4.1268741377911535,8.0,3
5.117957954057237,13.0,2
13.421043251719698,-821.0,8
10.545946518076867,-195.0,8
8.607764856227995,74.0,4
7.165492877844295,-36.0,3
9.558105738296874,-119.0,4
14.226282891138837,-1228.0,7
22.48708324125687,-76385.0,8
2.633915793849788,4.0,2
14.1295165945549,-1170.0,7
15.55976988059229,-2392.0,7
9.734950547210683,130.0,5
3.133598473944913,-5.0,3
6.661853105282506,28.0,2
10.525326682930878,193.0,6
9.021477452549178,-91.0,7
11.99289180119188,-402.0,5
10.796284452575307,-221.0,6
3.525494348078233,6.0,3
7.901747381548901,-52.0,5
11.042889834956465,-250.0,5
14.068774307305377,-1135.0,5
12.597891735459637,544.0,6
1.9248473002387554,3.0,3
13.932046594216969,1060.0,5
7.425953302346791,41.0,5
10.187425121666106,-163.0,5
11.240775475928844,-276.0,5
13.704482903253387,-946.0,8
6.800168828226681,-30.0,4
16.911486367738323,4702.0,7
12.405062838813333,-494.0,7
22.930451411965596,-95342.0,7
8.378850189044405,66.0,5
15.679838410024471,-2540.0,8
10.15026950088962,-160.0,4
5.774541900715247,18.0,5
14.280904830427716,-1262.0,6
8.861350090699096,-84.0,4
7.7415334005741885,-48.0,3
7.109061467116194,-35.0,3
5.883314629302378,-19.0,4
8.908424121205423,-86.0,4
8.317277706558334,-64.0,4
18.320198288964786,9510.0,8
4.779052869148454,-11.0,3
12.08999939732223,422.0,6
16.462751949455182,-3757.0,8
13.08493976848716,-694.0,5
8.221210021623508,-61.0,6
12.54951694926659,531.0,7
4.1268741377911535,-8.0,3
5.407151661862814,-15.0,4
19.796346910371295,19894.0,8
10.778101757780377,-219.0,8
14.468353318372301,1386.0,8
9.16972667824471,-98.0,3
11.4075427267198,300.0,7
5.986445692252767,-20.0,2
7.425953302346791,41.0,3
2.633915793849788,4.0,3
4.584863339122376,10.0,5
8.580543471677103,73.0,3
14.63176612485194,1504.0,8
15.155267141386696,-1954.0,6
14.745491943686703,-1592.0,7
1.9248473002387554,3.0,7
9.93953014155693,144.0,4
6.661853105282506,28.0,2
8.317277706558334,64.0,5
9.703938446349348,-128.0,3
11.226229572572072,274.0,6
6.929515813351728,-32.0,5
